Source_State,License_Number,Business_Name,Legal_Name,License_Type,License_Status,Street,City,State_Code,ZIP,County,Phone,Email,Website,Latitude,Longitude,Expiration_Date,Home_Delivery,Source_File,Data_Collected
AL,CULV000636,Native Black Cultivation,,Cultivator,License Issued,8115 Jones Dr,Bessemer,AL,35022,Jefferson,(773) 876-7791,,nativeblackcultivation.com,33.270254,-86.9795199,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000302,"Gulf Shore Remedies, LLC",,Cultivator,License Issued,13310 Mary Ann Beach Rd,Fairhope,AL,36532,Baldwin,(251) 421-2073,,N/A,30.418095945775,-87.852313418928,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000154,"CRC of Alabama, LLC",,Cultivator,License Issued,529 John Anderson Dr,Goshen,AL,36035,Pike,(334) 738-4225,,crcofalabama.com,31.7124961,-86.1296302,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000210,"Greenway Botanicals, LLC",,Cultivator,License Issued,3990 County Road 63,Centre,AL,35960,Cherokee,(305) 519-6405,,N/A,34.189834320576,-85.636903990657,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000407,Twisted Herb Cultivation,,Cultivator,License Issued,384 Ebenezer Rd,Georgiana,AL,36033,Butler,(334) 368-0517,,N/A,31.647423889942,-86.747342343299,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000533,I Am Farms,,Cultivator,License Issued,28988 U.S. Hwy 11,Knoxville,AL,35469,Greene,(205) 242-8113,,N/A,32.971217271346,-87.793228273224,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000737,"Creek Leaf Wellness, Inc.",,Cultivator,License Issued,2901 3rd Ave N,Birmingham,AL,35203,Jefferson,(833) 871-8800,,creekleafwellness.com,33.522169943677,-86.794453576181,12/29/2026,,AL-facilities.csv,04/18/2026
AL,CULV000902,"Pure by Sirmon Farms, LLC",,Cultivator,License Issued,25359 Co Rd 54 E,Daphne,AL,36526,Baldwin,(251) 747-7530,,purebysirmonfarms.com,30.594834918394,-87.826879660769,09/05/2026,,AL-facilities.csv,04/18/2026
AL,CULV000835,"Blackberry Farms, LLC",,Cultivator,License Issued,21258 U.S. Hwy 43,Northport,AL,35475,Tuscaloosa,(304) 381-5858,,blackberryfarmsal.com,33.52970382484,-87.651848754892,09/05/2026,,AL-facilities.csv,04/18/2026
AZ,00000070ESCO78837103,SWC Prescott,"203 Organix, Llc",Establishment,Open,123 E Merritt St,Prescott,AZ,86301,,(312) 819-5061,,,34.554888460595,-112.469097424537,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
