name,dba,slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state
Native Black Cultivation,,native-black-cultivation,cultivator,nativeblackcultivation.com,,8115 Jones Dr,Bessemer,AL,35022,US,33.270254,-86.9795199,(773) 876-7791,,CULV000636
"Gulf Shore Remedies, LLC",,gulf-shore-remedies-llc,cultivator,N/A,,13310 Mary Ann Beach Rd,Fairhope,AL,36532,US,30.418095945775,-87.852313418928,(251) 421-2073,,CULV000302
"CRC of Alabama, LLC",,crc-of-alabama-llc,cultivator,crcofalabama.com,,529 John Anderson Dr,Goshen,AL,36035,US,31.7124961,-86.1296302,(334) 738-4225,,CULV000154
"Greenway Botanicals, LLC",,greenway-botanicals-llc,cultivator,N/A,,3990 County Road 63,Centre,AL,35960,US,34.189834320576,-85.636903990657,(305) 519-6405,,CULV000210
Twisted Herb Cultivation,,twisted-herb-cultivation,cultivator,N/A,,384 Ebenezer Rd,Georgiana,AL,36033,US,31.647423889942,-86.747342343299,(334) 368-0517,,CULV000407
I Am Farms,,i-am-farms,cultivator,N/A,,28988 U.S. Hwy 11,Knoxville,AL,35469,US,32.971217271346,-87.793228273224,(205) 242-8113,,CULV000533
"Creek Leaf Wellness, Inc.",,creek-leaf-wellness-inc,cultivator,creekleafwellness.com,,2901 3rd Ave N,Birmingham,AL,35203,US,33.522169943677,-86.794453576181,(833) 871-8800,,CULV000737
"Pure by Sirmon Farms, LLC",,pure-by-sirmon-farms-llc,cultivator,purebysirmonfarms.com,,25359 Co Rd 54 E,Daphne,AL,36526,US,30.594834918394,-87.826879660769,(251) 747-7530,,CULV000902
"Blackberry Farms, LLC",,blackberry-farms-llc,cultivator,blackberryfarmsal.com,,21258 U.S. Hwy 43,Northport,AL,35475,US,33.52970382484,-87.651848754892,(304) 381-5858,,CULV000835
SWC Prescott,"203 Organix, Llc",swc-prescott,other,,,123 E Merritt St,Prescott,AZ,86301,US,34.554888460595,-112.469097424537,(312) 819-5061,,00000070ESCO78837103
The Mint Dispensary,4245 Investments Llc,mint-dispensary,other,,,330 E Southern Ave #37,Mesa,AZ,85210,US,33.393391173167,-111.824178066404,(480) 664-1470,,00000036ESXU42814428
D2 Dispensary,46 Wellness Llc,d2-dispensary,other,,,7139 E 22nd St,Tucson,AZ,85710,US,32.206543292264,-110.840095051179,(520) 214-3232,,00000128ESJI00619914
Ponderosa Dispensary,"480 License Holdings, LLC",ponderosa-dispensary,other,,,25 East Blacklidge Drive,Tucson,AZ,85705,US,32.2612876617,-110.971700493014,480-201-0000,,0000154ESTQI31348041
Ponderosa Dispensary,"ABACA Ponderosa, LLC",ponderosa-dispensary,other,,,21035 N Cave Creek Rd Ste 3 & 4,Phoenix,AZ,85024,US,33.678335904825,-112.030999968787,(480) 213-1402,,00000116ESSM79524188
Trulieve of Tatum,Abedon Saiz Llc,trulieve-of-tatum,other,,,"16635 N tatum blvd, 110",Phoenix,AZ,85032,US,33.636373395263,-111.977713169256,770-330-0831,,00000052ESLX15969554
Absolute Health Care Inc,,absolute-health-care-inc,other,,,175 S Hamilton Pl Bldg 4 Ste 110,Gilbert,AZ,85233,US,33.344764800995,-111.832087521624,480-361-0078,,00000027ESMP88938972
Trulieve of Phoenix Alhambra,"Ad, Llc",trulieve-of-phoenix-alhambra,other,,,2630 W Indian School Rd,Phoenix,AZ,85017,US,33.495034276954,-112.115797850233,770-330-0831,,00000006ESWX56565424
AGI Management LLC,,agi-management-llc,other,,,1035 W Main St,Quartzsite,AZ,85346,US,33.663081891513,-114.233291550111,480-234-2343,,00000142ESIL74759395
All Greens Inc,,all-greens-inc,other,,,10032 W Bell Rd Ste 100,Sun City,AZ,85351,US,33.638209163458,-112.275432982555,(623) 214-0801,,00000033ESLY55591549
All Rebel Rockers Inc,,all-rebel-rockers-inc,other,,,4730 S 48th St,Phoenix,AZ,85040,US,33.403907815107,-111.978476136589,602-807-5005,,00000131ESYX97720376
Nature's Medicines,ANPS Holdco LLC,natures-medicines,other,,,"701 East Dunlap Avenue, Suite 9",Phoenix,AZ,85020,US,33.567705570515,-112.065157210977,(602) 903-3769,,00000096ESWI60030184
Apache County Dispensary LLC,,apache-county-dispensary-llc,other,,,900 East Main Street,Springerville,AZ,85938,US,34.1323361,-109.2735507,620-921-5967,,00000133ESGJ79432018
Apollo Labs,,apollo-labs,other,,,"17301 North Perimeter Drive, suite 100",Scottsdale,AZ,85255,US,33.640645071536,-111.896652410849,(917) 340-1566,,00000013LCRK62049775
Arizona Cannabis Society Inc,,arizona-cannabis-society-inc,other,,,8376 N El Mirage Rd Bldg 2 Ste 2,El Mirage,AZ,85335,US,33.557377143976,-112.324487519487,(888) 249-2927,,00000042ESJB38310180
"Arizona Golden Leaf Wellness, Llc",,arizona-golden-leaf-wellness-llc,other,,,5390 W Ina Rd,Marana,AZ,85743,US,32.3376372847,-111.080258153665,(520) 620-9123,,00000067ESBS89254298
Arizona Natures Wellness,,arizona-natures-wellness,other,,,1610 West State Route 89a,Sedona,AZ,86336,US,34.863389942707,-111.788778701006,928-202-3512,,00000030ESDG72791381
Arizona Organix,,arizona-organix,other,,,5303 W Glendale Ave,Glendale,AZ,85301,US,33.538436464565,-112.17278958045,(623) 937-2752,,00000095ESIP13817359
Nirvana Center,Arizona Tree Equity 2,nirvana-center,other,,,2209 South 6th Avenue,Tucson,AZ,85713,US,32.196418645419,-110.968339212411,(928) 642-2250,,0000170ESTVQ68678199
Arizona Wellness Center Safford,Arizona Wellness Center Safford LLC,arizona-wellness-center-safford,dispensary,,,1362 W Thatcher Blvd,Safford,AZ,85546,US,32.834960362526,-109.723818461009,(602) 323-4266,,0000142DRCLD76170272
Ponderosa Dispensary,"Arizona Wellness Collective 3, Inc",ponderosa-dispensary,other,,,1911 W Broadway Rd 23,Mesa,AZ,85202,US,33.407540354291,-111.87295550486,(480) 213-1402,,00000044ESZW01555573
TruMed Dispensary,Az Compassionate Care Inc,trumed-dispensary,other,,,1613 N 40th St,Phoenix,AZ,85008,US,33.465890697476,-111.99551531332,(602) 275-1279,,00000076ESON21559195
AZ Flower Power LLC,,az-flower-power-llc,other,,,11343 East Apache Trail,Apache Junction,AZ,85120,US,33.415034815627,-111.586462540034,(917) 375-3900,,0000148ESTMY68096274
AZC1,AZCL1,azc1,other,,,4695 N Oracle Rd Ste 117,Tucson,AZ,85705,US,32.291837884405,-110.978363129086,520-293-3315,,00000054ESDU93884651
Zen Leaf Chandler,"AZGM 3, LLC",zen-leaf-chandler,other,,,7200 W Chandler Blvd Ste 7,Chandler,AZ,85226,US,33.30534082313,-111.966335211341,312-819-5061,,00000040ESDX57445071
Greenleef Medical,Bailey Management LLC,greenleef-medical,other,,,253 Chase Creek St,Clifton,AZ,85533,US,33.056321364931,-109.302411773854,480-652-3622,,00000139ESDD30084191
"Blue Palo Verde 1, LLC",,blue-palo-verde-1-llc,other,,,"7710 South Wilmot Road, Suite 100",Tucson,AZ,85756,US,32.112972825319,-110.858024324878,586-855-6649,,0000150ESTPZ83854528
