Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0T9LAAV,00089530,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000006lhu5AAA&facilityId=001t000000L0T9LAAV,9/25/2024,Establishment,00000098ESAA47054477,Closed (Complete)
001t000000L0T9LAAV,00138590,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000uV5ROAA0&facilityId=001t000000L0T9LAAV,8/19/2025,Establishment,00000098ESAA47054477,Closed (Complete)
001t000000L0T9LAAV,00095785,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000QRt6HAAT&facilityId=001t000000L0T9LAAV,2/10/2025,Establishment,00000098ESAA47054477,Closed (Complete)
001t000000L0T9hAAF,00061640,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008EhzkAAC&facilityId=001t000000L0T9hAAF,,Dispensary,00000003DCOU00038157,Closed (Complete)
001t000000L0T9hAAF,00081631,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000ARU7iAAH&facilityId=001t000000L0T9hAAF,4/18/2024,Establishment,00000106ESEU57773093,Closed (Complete)
001t000000L0TA0AAN,00064567,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008nQlbAAE&facilityId=001t000000L0TA0AAN,,Dispensary,00000054DCOV00321891,Closed (Complete)
001t000000L0TB6AAN,00124052,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000aKdF5AAK&facilityId=001t000000L0TB6AAN,4/8/2025,Establishment,00000004ESAN63639048,Closed (Complete)
001t000000L0TB6AAN,00158155,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001Tv3UdAAJ&facilityId=001t000000L0TB6AAN,3/5/2026,Establishment,00000004ESAN63639048,Closed (Complete)
001t000000SDpQXAA1,00081771,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000ASap4AAD&facilityId=001t000000SDpQXAA1,,,,Closed (Complete)
001t000000L0TAyAAN,00122090,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000YBxNnAAL&facilityId=001t000000L0TAyAAN,3/17/2025,Establishment,00000005ESIN89499585,Closed (Complete)
001t000000U7z5DAAR,00066218,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000009MpekAAC&facilityId=001t000000U7z5DAAR,,,,Closed (Complete)
001t000000U7z5DAAR,00091441,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000DqdtpAAB&facilityId=001t000000U7z5DAAR,,,,Closed (Complete)
001t000000L0T9YAAV,00063282,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008YGTfAAO&facilityId=001t000000L0T9YAAV,,Establishment,00000079ESTS64678211,Closed (Complete)
001t000000L0T9YAAV,00087928,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000002ekMNAAY&facilityId=001t000000L0T9YAAV,8/8/2024,Establishment,00000079ESTS64678211,Closed (Complete)
001t000000L0TB8AAN,00037397,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y0000062VmhAAE&facilityId=001t000000L0TB8AAN,2/9/2023,Dispensary,00000120DCEQ00578528,Closed (Complete)
001t000000L0T9AAAV,00128854,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000fB9jZAAS&facilityId=001t000000L0T9AAAV,5/7/2025,Establishment,00000050ESTO08528992,Closed (Complete)
001t000000L0T9wAAF,00060234,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007zwNvAAI&facilityId=001t000000L0T9wAAF,,Establishment,00000010ESIR42914838,Closed (Complete)
001t000000L0T9BAAV,00033416,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y0000045J3cAAE&facilityId=001t000000L0T9BAAV,,Establishment,00000033ESLY55591549,Closed (Complete)
001t000000L0T9BAAV,00060034,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007xawZAAQ&facilityId=001t000000L0T9BAAV,,Dispensary,00000011DCMZ00182361,Closed (Complete)
001t000000L0T9BAAV,00060908,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y0000087HGvAAM&facilityId=001t000000L0T9BAAV,,Dispensary,00000011DCMZ00182361,Closed (Complete)
001t000000L0T9BAAV,00133058,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000l86ZTAAY&facilityId=001t000000L0T9BAAV,6/26/2025,Dispensary,00000011DCMZ00182361,Closed (Complete)
001t000000L0T9BAAV,00135930,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000pfaQQAAY&facilityId=001t000000L0T9BAAV,9/25/2025,Establishment,00000033ESLY55591549,Closed (Complete)
001t000000L0T9OAAV,00065234,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008xquZAAQ&facilityId=001t000000L0T9OAAV,,Establishment,00000111ESTX14447382,Closed (Complete)
001t000000L0T9PAAV,00066580,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000009RQF7AAO&facilityId=001t000000L0T9PAAV,,Establishment,00000096ESWI60030184,Closed (Complete)
001t000000L0T9PAAV,00132484,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000k7ZTBAA2&facilityId=001t000000L0T9PAAV,6/19/2025,Establishment,00000096ESWI60030184,Closed (Complete)
001t000000dYTCyAAO,00151914,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001GmiuoAAB&facilityId=001t000000dYTCyAAO,,,,Closed (Complete)
001t000000L0T9QAAV,00082515,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AawguAAB&facilityId=001t000000L0T9QAAV,8/30/2024,Dispensary,00000014DCHT00564851,Closed (Complete)
001t000000L0T9RAAV,00056802,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007Wkb1AAC&facilityId=001t000000L0T9RAAV,8/7/2023,Establishment,00000121ESBM38825533,Closed (Complete)
001t000000L0T9RAAV,00137978,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000tR1WdAAK&facilityId=001t000000L0T9RAAV,8/12/2025,Establishment,00000121ESBM38825533,Closed (Complete)
001t000000L0T9TAAV,00063615,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008brXvAAI&facilityId=001t000000L0T9TAAV,10/6/2023,Dispensary,00000019DCGM00234427,Closed (Complete)
001t000000L0T9TAAV,00064379,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008lGF8AAM&facilityId=001t000000L0T9TAAV,10/6/2023,Dispensary,00000019DCGM00234427,Closed (Complete)
001t000000L0T9TAAV,00088870,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000563ErAAI&facilityId=001t000000L0T9TAAV,8/30/2024,Dispensary,00000019DCGM00234427,Closed (Complete)
001t000000L0TB2AAN,00158024,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001TexD6AAJ&facilityId=001t000000L0TB2AAN,3/5/2026,Dispensary,00000134DCUJ00307958,Closed (Complete)
001t000000L0T9iAAF,00092698,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000I7c6GAAR&facilityId=001t000000L0T9iAAF,12/24/2024,Dispensary,00000017DCEX00412883,Closed (Complete)
001t000000L0T9iAAF,00085263,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000B2MknAAF&facilityId=001t000000L0T9iAAF,6/12/2024,Establishment,00000113ESLZ23317951,Closed (Complete)
001t000000L0TAlAAN,00082357,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AZ4YXAA1&facilityId=001t000000L0TAlAAN,4/12/2024,Establishment,00000018ESKD27426528,Closed (Complete)
001t000000L0TAlAAN,00085481,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000B4dttAAB&facilityId=001t000000L0TAlAAN,7/3/2024,Establishment,00000018ESKD27426528,Closed (Complete)
