Facility_ID,Business_Name,Legal_Name,Address,Mailing_Address,Phone,Facility_Status,Owner_License,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Lic1_Type,Lic1_Services,Lic1_Number,Lic1_Originally,Lic1_Effective,Lic1_Expires,Lic1_Status,Lic1_PDF_URL,Lic2_Type,Lic2_Services,Lic2_Number,Lic2_Originally,Lic2_Effective,Lic2_Expires,Lic2_Status,Lic2_PDF_URL,Offsite_Cultivation_Address,Manufacture_Address,Source_URL
001t000000L0TAWAA3,SWC Prescott,"203 Organix, Llc","123 E Merritt St, Prescott, AZ 86301","107 South Southgate Drive, Chandler, AZ 85226",(312) 819-5061,Open,203 Organix Llc,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,10AM-6PM,Establishment,Retail - Sell,00000070ESCO78837103,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs000000Im7p/ln9Eq3dUlCrNTdYCLG7RCJI2uZFFPuyw86VhBXsvuk0,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture
Cultivation - Prepare Edibles",00000074DCGW00540313,8/8/2024,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000l3K3x/oOFqJrnxeGgk5iDZj3NY8Dyo57M8MEYKBkfLbOp9wMY,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAWAA3&activeTab=details
001t000000L0TApAAN,The Mint Dispensary,4245 Investments Llc,"330 E Southern Ave #37, Mesa, AZ 85210","5210 S Priest Dr, Guadalupe, AZ 85283",(480) 664-1470,Open,4245 Investments Llc,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Establishment,Retail - Sell,00000036ESXU42814428,1/22/2021,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000FPlEP/fpjTuKgbgUXi7ZqQAapQVDYboevAsqGK8qNklFt5GSc,Dispensary,Retail - Sell,00000136DCKS00208201,,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000FPiBh/zEk1GPw8H2K5KoaoKu181uhDw.aMWXKXUgw9DVh7IKo,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TApAAN&activeTab=details
001t000000L0TAsAAN,D2 Dispensary,46 Wellness Llc,"7139 E 22nd St, Tucson, AZ 85710","221 E 6th St Ste 105, Tucson, AZ 85705",(520) 214-3232,Open,46 Wellness Llc,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,10AM-10PM,Establishment,Retail - Sell,00000128ESJI00619914,3/4/2021,3/4/2025,3/3/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000HB5sE/LK21pfAQDn1uKUmreYpoWnFbATMYpHycJgbWdndliCI,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture
Cultivation - Prepare Edibles",00000116DCJL00597353,,3/4/2025,3/3/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000HBRaz/5fH_RoxQBp_0rrFeN8lpZi3ydVxr.OgfnFm4gDpAMC4,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAsAAN&activeTab=details
0018y000004cBuZAAU,Ponderosa Dispensary,"480 License Holdings, LLC","25 East Blacklidge Drive, Tucson, AZ 85705","2055 E. 5th St., TEMPE, AZ 85281",480-201-0000,Open,"480 License Holdings, LLC",8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,"Retail - Sell
Manufacture - Manufacture
Manufacture - Package & Store
Manufacture - Prepare Edibles",0000154ESTQI31348041,4/8/2022,4/8/2026,4/7/2028,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000kO0Z3/2p.MNYPkGApYvV.eQmtZxsNepk2WIsirF2_lPRanzs8,,,,,,,,,,"2149 East 5th Street, Tempe, AZ 85288",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y000004cBuZAAU&activeTab=details
001t000000L0TAXAA3,Ponderosa Dispensary,"ABACA Ponderosa, LLC","21035 N Cave Creek Rd Ste 3 & 4, Phoenix, AZ 85024","2055 East 5th Street, Tempe, AZ 85281",(480) 213-1402,Open,"ABACA Ponderosa, LLC",8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000116ESSM79524188,2/23/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000JlKDH/kLNufGgckCTp4kjpMuSe4g.b1hpIoJMCLQpAgTZ9VT4,Dispensary,Retail - Sell,00000075DCPP00704676,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000OUwOw/1sWghyDD2pI2d6w9hOZDsW9CnMYJwM4YFqceRzP_9hM,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAXAA3&activeTab=details
001t000000L0TAoAAN,Trulieve of Tatum,Abedon Saiz Llc,"16635 N tatum blvd, 110, Phoenix, AZ 85032","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281",770-330-0831,Open,Abedon Saiz Llc,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-10PM,8AM-10PM,8AM-9PM,Establishment,Retail - Sell,00000052ESLX15969554,1/22/2021,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000L06MH/wu93XJgqXyeg9KIjH9jUQ_ttOnIAS5udmL4tGujMTNk,Dispensary,Retail - Sell,00000135DCSM00130984,,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000G2Ewv/WO240Mn_CTkDnitArBHGy.faD67fvddxr1eiLAU23dI,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAoAAN&activeTab=details
001t000000L0T9eAAF,Absolute Health Care Inc,Absolute Health Care Inc,"175 S Hamilton Pl Bldg 4 Ste 110, Gilbert, AZ 85233","16277 N Greenway Hayden Loop,, Scottsdale, AZ 85260",480-361-0078,Open,Absolute Healthcare Inc,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000027ESMP88938972,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005o0yJ/gMlZJsKz9NxBWJo0y7eJWP7LmQ0A8ZY2xcnI5Q1g43o,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture",00000034DCOD00007550,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005o0yE/GiuVyNdaddD0VZAdTIWV7w9R7BHFY8XKwNoljyFGDHE,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9eAAF&activeTab=details
001t000000L0TAHAA3,Trulieve of Phoenix Alhambra,"Ad, Llc","2630 W Indian School Rd, Phoenix, AZ 85017","1155 W Rio Salado Pkwy Ste 201, Tempe, AZ 85281",770-330-0831,Open,"Ad, Llc",8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,"Cultivation - Process
Cultivation - Manufacture
Cultivation - Cultivate
Retail - Sell",00000006ESWX56565424,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs000000qWS4/7kO79VdTKGVLFYafB9ghAvRpJrphNpHPlRhrbBzEP_g,Dispensary,Retail - Sell,00000092DCEG00124317,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs000000qwKr/rP8nDHkBcGwn6jbXam4LhtePy4vD8HQHW5m9TP0lDIY,"12225 W Peoria Ave, Ste B, El Mirage, AZ 85385",,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAHAA3&activeTab=details
001t000000cRx7LAAS,AGI Management LLC,AGI Management LLC,"1035 W Main St, Quartzsite, AZ 85346","540 N Jasmine Way, Litchfield Park, AZ 85340",480-234-2343,Open,AGI Management LLC,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,CLOSED,Establishment,Retail - Sell,00000142ESIL74759395,4/19/2021,4/19/2025,4/18/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000RMvBN/ho4_CYEwyzRJKKS6p5DwQKdA8byE8ewnGKucUbiwAmQ,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000cRx7LAAS&activeTab=details
001t000000L0T9BAAV,All Greens Inc,All Greens Inc,"10032 W Bell Rd Ste 100, Sun City, AZ 85351","10032 W Bell Rd Ste 100, Sun City, AZ 85351",(623) 214-0801,Open,All Greens Inc,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,Establishment,"Retail - Sell
Retail - Cultivate",00000033ESLY55591549,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mXve/mpuAj96igxnTDQYryrLDWXWKKBh18iLB7304va4FWRw,Dispensary,"Retail - Sell
Cultivation - Cultivate",00000011DCMZ00182361,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mXof/7Tl80bHehikOB8CUxfxKdP80RMDkgZClg2XYgsam4nE,"1500 Navajo Blvd, Holbrook, AZ 86025",,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9BAAV&activeTab=details
