Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9WAAV,INSP-0162500,10/29/2025,Modification,Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0162499,10/29/2025,Modification,Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0161630,10/16/2025,Compliance (Annual),Manufacture Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0159075,9/4/2025,Compliance (Annual),Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0159048,9/4/2025,Compliance (Annual),Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0050212,11/8/2024,Compliance (Annual),Manufacture Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0048821,10/2/2024,Complaint;Compliance (Annual),Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0048822,10/2/2024,Complaint;Compliance (Annual),Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0042494,4/4/2024,Complaint,Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0042495,4/4/2024,Complaint,Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0039625,2/28/2024,Initial Monitoring,Manufacture Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0039576,2/27/2024,Complaint,Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0039546,2/27/2024,Complaint,Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0035993,1/3/2024,Compliance (Initial),Manufacture Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0035406,12/5/2023,Initial Monitoring,Retail Site,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0035404,12/5/2023,Initial Monitoring,Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0033286,10/6/2023,Compliance (Initial),Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0033287,10/6/2023,Compliance (Initial),Dispensary,Dispensary,00000001DCQP00496571,Complete
001t000000L0T9WAAV,INSP-0026571,4/26/2023,Compliance (Annual),Retail Site,Establishment,00000037ESIX56363099,Complete
001t000000L0T9WAAV,INSP-0026572,4/26/2023,Compliance (Annual),Retail Site,Dispensary,00000001DCQP00496571,Complete
