Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAHAA3,INSP-0158915,9/10/2025,Compliance (Annual),Cultivation Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0132409,7/2/2025,Compliance (Annual),Retail Site,Dispensary,00000092DCEG00124317,Complete
001t000000L0TAHAA3,INSP-0132408,7/2/2025,Compliance (Annual),Retail Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0048979,10/22/2024,Compliance (Annual),Cultivation Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0046421,8/19/2024,Compliance (Annual),Retail Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0046425,8/19/2024,Compliance (Annual),Retail Site,Dispensary,00000092DCEG00124317,Complete
001t000000L0TAHAA3,INSP-0045520,6/28/2024,Modification,Cultivation Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0043967,5/15/2024,Modification,Cultivation Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0036071,12/27/2023,Compliance (Annual),Cultivation Site,Establishment,00000006ESWX56565424,Complete
001t000000L0TAHAA3,INSP-0031032,9/14/2023,Compliance (Annual),Retail Site,Dispensary,00000092DCEG00124317,Complete
001t000000L0TAHAA3,INSP-0031031,9/14/2023,Compliance (Annual),Retail Site,Establishment,00000006ESWX56565424,Complete
