Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9MAAV,INSP-0162581,10/30/2025,Complaint,Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0162580,10/30/2025,Complaint,Retail Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0160592,9/26/2025,Monitoring,Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0160591,9/26/2025,Monitoring,Retail Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0132766,6/2/2025,Compliance (Annual),Retail Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0132767,6/2/2025,Compliance (Annual),Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0100313,3/5/2025,Modification,Dispensary,Establishment,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0047929,9/9/2024,Compliance (Annual),Cultivation Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0046909,8/13/2024,Change of Service,Cultivation Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0045350,6/24/2024,Complaint,Retail Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0045351,6/24/2024,Complaint,Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0044698,6/4/2024,Compliance (Annual),Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0044697,6/4/2024,Compliance (Annual),Retail Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0043770,5/14/2024,Change of Service,Cultivation Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0032137,9/11/2023,Compliance (Annual),Cultivation Site,Establishment,00000007ESWD35270682,Complete
001t000000L0T9MAAV,INSP-0028155,6/5/2023,Compliance (Annual),Retail Site,Dispensary,00000005DCMV00766195,Complete
001t000000L0T9MAAV,INSP-0028154,6/5/2023,Compliance (Annual),Retail Site,Establishment,00000007ESWD35270682,Complete
