Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9PAAV,INSP-0171281,4/6/2026,Compliance (Annual),Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0167597,2/2/2026,Complaint,Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0167598,2/2/2026,Complaint,Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0135985,7/11/2025,Complaint,Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0135984,7/11/2025,Complaint,Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0129949,4/23/2025,Compliance (Annual),Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0129948,4/23/2025,Compliance (Annual),Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0047488,8/23/2024,Initial Monitoring,Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0047487,8/23/2024,Initial Monitoring,Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0045449,7/1/2024,Compliance (Initial),Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0045448,7/1/2024,Compliance (Initial),Dispensary,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0045335,6/24/2024,Compliance (Annual),Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0045336,6/24/2024,Compliance (Annual),Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0034447,11/7/2023,Initial Monitoring,Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0034446,11/7/2023,Initial Monitoring,Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0032237,9/12/2023,Compliance (Initial),Retail Site,Establishment,00000096ESWI60030184,Complete
001t000000L0T9PAAV,INSP-0032236,9/12/2023,Compliance (Initial),Dispensary,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0029782,7/17/2023,Compliance (Annual),Retail Site,Dispensary,00000013DCOU00042197,Complete
001t000000L0T9PAAV,INSP-0029781,7/17/2023,Compliance (Annual),Retail Site,Establishment,00000096ESWI60030184,Complete
