Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9NAAV,INSP-0162732,11/3/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000007DCWH00607422,Complete
001t000000L0T9NAAV,INSP-0162730,11/3/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0158804,8/29/2025,Complaint,Retail Site,Dispensary,00000007DCWH00607422,Complete
001t000000L0T9NAAV,INSP-0158803,8/29/2025,Complaint,Retail Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0131057,5/8/2025,Complaint;Compliance (Annual),Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0107770,3/24/2025,Complaint,Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0050520,11/18/2024,Compliance (Annual),Retail Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0050521,11/18/2024,Compliance (Annual),Retail Site,Dispensary,00000007DCWH00607422,Complete
001t000000L0T9NAAV,INSP-0046916,8/9/2024,Complaint,Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0044718,6/4/2024,Compliance (Annual),Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0042166,3/27/2024,Complaint,Retail Site,Dispensary,00000007DCWH00607422,Complete
001t000000L0T9NAAV,INSP-0042165,3/27/2024,Complaint,Retail Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0035764,12/14/2023,Complaint;Compliance (Annual),Retail Site,Dispensary,00000007DCWH00607422,Complete
001t000000L0T9NAAV,INSP-0035763,12/14/2023,Complaint;Compliance (Annual),Retail Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0033034,9/28/2023,Complaint,Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0029386,7/7/2023,Change of Service,Cultivation Site,Establishment,00000014ESNA15249640,Complete
001t000000L0T9NAAV,INSP-0028554,6/13/2023,Compliance (Annual),Cultivation Site,Establishment,00000014ESNA15249640,Complete
