Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9SAAV,INSP-0160661,10/15/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000025ESOX62486193,Complete
001t000000L0T9SAAV,INSP-0160662,10/15/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000016DCCC00020807,Complete
001t000000L0T9SAAV,INSP-0050617,11/21/2024,Compliance (Annual),Retail Site,Establishment,00000025ESOX62486193,Complete
001t000000L0T9SAAV,INSP-0050618,11/21/2024,Compliance (Annual),Retail Site,Dispensary,00000016DCCC00020807,Complete
001t000000L0T9SAAV,INSP-0043496,5/2/2024,Complaint,Retail Site,Dispensary,00000016DCCC00020807,Complete
001t000000L0T9SAAV,INSP-0042739,4/15/2024,Complaint,Retail Site,Dispensary,00000016DCCC00020807,Complete
001t000000L0T9SAAV,INSP-0035651,12/13/2023,Compliance (Annual),Retail Site,Dispensary,00000016DCCC00020807,Complete
001t000000L0T9SAAV,INSP-0035650,12/13/2023,Compliance (Annual),Retail Site,Establishment,00000025ESOX62486193,Complete
001t000000L0T9SAAV,INSP-0034328,11/3/2023,Modification,Retail Site,Establishment,00000025ESOX62486193,Complete
001t000000L0T9SAAV,INSP-0034329,11/3/2023,Modification,Retail Site,Dispensary,00000016DCCC00020807,Complete
