Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAlAAN,INSP-0163028,11/7/2025,Compliance (Annual),Retail Site,Dispensary,00000129DCKL00602472,Complete
001t000000L0TAlAAN,INSP-0163027,11/7/2025,Compliance (Annual),Retail Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0115612,4/4/2025,Complaint,Retail Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0115613,4/4/2025,Complaint,Retail Site,Dispensary,00000129DCKL00602472,Complete
001t000000L0TAlAAN,INSP-0050623,12/2/2024,Compliance (Annual),Retail Site,Dispensary,00000129DCKL00602472,Complete
001t000000L0TAlAAN,INSP-0050622,12/2/2024,Compliance (Annual),Retail Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0043412,4/30/2024,Complaint,Cultivation Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0039624,2/28/2024,Compliance (Annual),Cultivation Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0036330,1/4/2024,Compliance (Annual),Retail Site,Establishment,00000018ESKD27426528,Complete
001t000000L0TAlAAN,INSP-0036333,1/4/2024,Compliance (Annual),Retail Site,Dispensary,00000129DCKL00602472,Complete
001t000000L0TAlAAN,INSP-0029943,7/21/2023,Complaint,Retail Site,Dispensary,00000129DCKL00602472,Complete
