Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9UAAV,INSP-0165682,1/20/2026,Compliance (Annual),Retail Site,Establishment,00000059ESZW76539792,Complete
001t000000L0T9UAAV,INSP-0165683,1/20/2026,Compliance (Annual),Retail Site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0164684,12/16/2025,Modification,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0099908,3/3/2025,Compliance (Annual),Retail Site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0099907,3/3/2025,Compliance (Annual),Retail Site,Establishment,00000059ESZW76539792,Complete
001t000000L0T9UAAV,INSP-0050680,11/25/2024,Modification,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0049058,10/9/2024,Complaint,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0045226,6/28/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0041356,3/6/2024,Compliance (Annual),Retail Site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0041329,3/6/2024,Compliance (Annual),Retail Site,Establishment,00000059ESZW76539792,Complete
001t000000L0T9UAAV,INSP-0029877,7/20/2023,Modification,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0027448,6/30/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0029175,6/30/2023,Complaint,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0026633,4/27/2023,Compliance (Annual),Retail Site,Establishment,00000059ESZW76539792,Complete
001t000000L0T9UAAV,INSP-0026636,4/27/2023,Complaint,Cultivation Off-site,Dispensary,00000020DCGM00200033,Complete
001t000000L0T9UAAV,INSP-0026634,4/27/2023,Compliance (Annual),Retail Site,Dispensary,00000020DCGM00200033,Complete
