Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9sAAF,INSP-0161997,10/24/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0159634,9/11/2025,Compliance (Annual),Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0159635,9/11/2025,Compliance (Annual),Retail Site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0135106,6/27/2025,Complaint,Retail Site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0135105,6/27/2025,Complaint,Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0051583,12/26/2024,Complaint,Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0051584,12/26/2024,Complaint,Retail Site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0049916,11/21/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0048884,10/3/2024,Compliance (Annual),Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0048885,10/3/2024,Compliance (Annual),Retail Site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0037062,1/26/2024,Modification,Retail Site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0037061,1/26/2024,Modification,Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0035752,12/14/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000047DCOU00565305,Complete
001t000000L0T9sAAF,INSP-0033501,10/12/2023,Compliance (Annual),Retail Site,Establishment,00000020ESEN67630727,Complete
001t000000L0T9sAAF,INSP-0033502,10/12/2023,Compliance (Annual),Retail Site,Dispensary,00000047DCOU00565305,Complete
