Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9VAAV,INSP-0165089,12/17/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0131093,5/8/2025,Compliance (Annual),Retail Site,Establishment,00000023ESLL63816994,Complete
001t000000L0T9VAAV,INSP-0131094,5/8/2025,Compliance (Annual),Retail Site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0052175,1/16/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0046433,7/29/2024,Compliance (Annual),Retail Site,Establishment,00000023ESLL63816994,Complete
001t000000L0T9VAAV,INSP-0046434,7/29/2024,Compliance (Annual),Retail Site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0044434,5/28/2024,Complaint,Retail Site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0044431,5/28/2024,Complaint,Retail Site,Establishment,00000023ESLL63816994,Complete
001t000000L0T9VAAV,INSP-0044433,5/28/2024,Complaint,Cultivation Off-site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0039105,2/13/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0033601,10/13/2023,Complaint,Cultivation Off-site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0031804,8/30/2023,Compliance (Annual),Retail Site,Dispensary,00000021DCLU00461342,Complete
001t000000L0T9VAAV,INSP-0031803,8/30/2023,Compliance (Annual),Retail Site,Establishment,00000023ESLL63816994,Complete
