Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAIAA3,INSP-0168074,2/10/2026,Complaint,Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0166463,1/14/2026,Compliance (Annual),Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0166462,1/14/2026,Compliance (Annual),Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0163678,11/19/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0160646,9/26/2025,Complaint,Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0159903,9/18/2025,Compliance (Initial),Dispensary,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0159071,9/3/2025,Complaint,Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0159070,9/3/2025,Complaint,Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0136217,7/16/2025,Complaint,Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0135839,7/8/2025,Complaint,Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0133795,6/10/2025,Monitoring,Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0133796,6/10/2025,Monitoring,Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0132676,5/29/2025,Compliance (Initial),Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0097903,2/24/2025,Compliance (Annual),Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0097893,2/24/2025,Compliance (Annual),Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0052209,1/22/2025,Modification,Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0051228,12/11/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0041999,3/22/2024,Compliance (Annual),Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0041998,3/22/2024,Compliance (Annual),Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0036720,1/12/2024,Monitoring,Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0036719,1/12/2024,Monitoring,Retail Site,Establishment,00000021ESQX24132908,Complete
001t000000L0TAIAA3,INSP-0036603,1/10/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0026286,4/18/2023,Compliance (Annual),Retail Site,Dispensary,00000100DCWU00857159,Complete
001t000000L0TAIAA3,INSP-0026285,4/18/2023,Compliance (Annual),Retail Site,Establishment,00000021ESQX24132908,Complete
