Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAaAAN,INSP-0161279,10/9/2025,Compliance (Annual),Retail Site,Dispensary,00000087DCTX00681297,Complete
001t000000L0TAaAAN,INSP-0161278,10/9/2025,Compliance (Annual),Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0050447,11/15/2024,Compliance (Annual),Retail Site,Dispensary,00000087DCTX00681297,Complete
001t000000L0TAaAAN,INSP-0050446,11/15/2024,Compliance (Annual),Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0043031,4/18/2024,Initial Monitoring,Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0043032,4/18/2024,Initial Monitoring,Retail Site,Dispensary,00000087DCTX00681297,Complete
001t000000L0TAaAAN,INSP-0039234,2/14/2024,Compliance (Initial),Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0039236,2/14/2024,Compliance (Initial),Dispensary,Dispensary,00000087DCTX00681297,Complete
001t000000L0TAaAAN,INSP-0037459,2/2/2024,Compliance (Annual),Retail Site,Dispensary,00000087DCTX00681297,Complete
001t000000L0TAaAAN,INSP-0037458,2/2/2024,Compliance (Annual),Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0026320,4/19/2023,Compliance (Annual),Retail Site,Establishment,00000024ESUV84524312,Complete
001t000000L0TAaAAN,INSP-0026321,4/19/2023,Compliance (Annual),Retail Site,Dispensary,00000087DCTX00681297,Complete
