Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9cAAF,INSP-0165870,1/9/2026,Complaint,Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0160660,10/7/2025,Compliance (Annual),Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0160659,10/7/2025,Compliance (Annual),Retail Site,Establishment,00000093ESRF39774783,Complete
001t000000L0T9cAAF,INSP-0051843,1/14/2025,Initial Monitoring,Retail Site,Establishment,00000093ESRF39774783,Complete
001t000000L0T9cAAF,INSP-0051844,1/14/2025,Initial Monitoring,Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0050147,11/18/2024,Compliance (Initial),Retail Site,Establishment,00000093ESRF39774783,Complete
001t000000L0T9cAAF,INSP-0050151,11/18/2024,Compliance (Initial),Dispensary,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0049413,10/18/2024,Compliance (Annual),Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0049412,10/18/2024,Compliance (Annual),Retail Site,Establishment,00000093ESRF39774783,Complete
001t000000L0T9cAAF,INSP-0036345,1/16/2024,Initial Monitoring,Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0034523,11/8/2023,Compliance (Annual),Retail Site,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0034528,11/8/2023,Modification,Dispensary,Dispensary,00000028DCGV00174888,Complete
001t000000L0T9cAAF,INSP-0034522,11/8/2023,Compliance (Annual),Retail Site,Establishment,00000093ESRF39774783,Complete
