Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9dAAF,INSP-0136462,7/22/2025,Compliance (Annual),Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0136461,7/22/2025,Compliance (Annual),Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0134372,6/18/2025,Modification,Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0134371,6/18/2025,Modification,Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0047401,8/22/2024,Compliance (Annual),Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0047402,8/22/2024,Compliance (Annual),Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0046907,8/15/2024,Complaint,Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0046908,8/15/2024,Complaint,Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0045946,7/12/2024,Modification,Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0045947,7/12/2024,Modification,Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0042060,3/25/2024,Modification,Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0042059,3/25/2024,Modification,Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0031029,9/12/2023,Compliance (Annual),Retail Site,Establishment,00000049ESUK39624376,Complete
001t000000L0T9dAAF,INSP-0031030,9/12/2023,Compliance (Annual),Retail Site,Dispensary,00000029DCRV00169614,Complete
001t000000L0T9dAAF,INSP-0031227,8/16/2023,Complaint,Retail Site,Dispensary,00000029DCRV00169614,Complete
