Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAYAA3,INSP-0168170,2/11/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0161155,10/3/2025,Modification,Cultivation Off-site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0158678,8/28/2025,Compliance (Annual),Retail Site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0158677,8/28/2025,Compliance (Annual),Retail Site,Establishment,00000029ESAA16670843,Complete
001t000000L0TAYAA3,INSP-0100446,3/6/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0049597,10/23/2024,Compliance (Annual),Retail Site,Establishment,00000029ESAA16670843,Complete
001t000000L0TAYAA3,INSP-0049598,10/23/2024,Compliance (Annual),Retail Site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0041391,3/7/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0034548,11/8/2023,Compliance (Annual),Retail Site,Dispensary,00000076DCBK00035366,Complete
001t000000L0TAYAA3,INSP-0034547,11/8/2023,Compliance (Annual),Retail Site,Establishment,00000029ESAA16670843,Complete
