Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9rAAF,INSP-0171334,4/6/2026,Complaint,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0171333,4/6/2026,Complaint,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0165410,12/23/2025,Complaint,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0165411,12/23/2025,Complaint,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0164245,12/3/2025,Complaint,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0164244,12/3/2025,Complaint,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0162689,11/3/2025,Compliance (Annual),Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0162688,11/3/2025,Compliance (Annual),Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0161078,10/2/2025,Complaint,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0161077,10/2/2025,Complaint,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0136043,7/15/2025,Compliance (Annual),Manufacture Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0052232,1/23/2025,Monitoring,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0052231,1/23/2025,Monitoring,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0051159,12/16/2024,Compliance (Annual),Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0051160,12/16/2024,Compliance (Annual),Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0049681,10/28/2024,Initial Monitoring,Manufacture Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0047562,8/30/2024,Compliance (Initial),Manufacture Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0045650,7/8/2024,Modification,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0045651,7/8/2024,Modification,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0043123,4/23/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0036032,12/28/2023,Compliance (Annual),Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0T9rAAF,INSP-0036033,12/28/2023,Compliance (Annual),Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0T9rAAF,INSP-0026910,5/3/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000046DCYJ00671222,Complete
