Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAZAA3,INSP-0165170,12/18/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0162337,10/27/2025,Compliance (Annual),Retail Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0162338,10/27/2025,Compliance (Annual),Retail Site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0130767,5/5/2025,Compliance (Annual),Cultivation Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0051934,1/9/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0050567,11/19/2024,Compliance (Annual),Retail Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0050578,11/19/2024,Compliance (Annual),Retail Site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0046082,7/24/2024,Complaint,Retail Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0046083,7/24/2024,Complaint,Retail Site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0045810,7/12/2024,Complaint,Cultivation Off-site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0045410,6/26/2024,Compliance (Annual),Cultivation Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0041722,3/15/2024,Complaint,Cultivation Off-site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0036885,1/18/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0036106,12/28/2023,Compliance (Annual),Retail Site,Dispensary,00000086DCKR00375578,Complete
001t000000L0TAZAA3,INSP-0036105,12/28/2023,Compliance (Annual),Retail Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0033330,10/6/2023,Initial Monitoring,Cultivation Site,Establishment,00000032ESPT83532730,Complete
001t000000L0TAZAA3,INSP-0031005,8/21/2023,Compliance (Initial),Cultivation Site,Establishment,00000032ESPT83532730,Complete
