Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9vAAF,INSP-0158912,9/9/2025,Compliance (Annual),Retail Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0158913,9/9/2025,Compliance (Annual),Retail Site,Dispensary,00000033DCCK00134006,Complete
001t000000L0T9vAAF,INSP-0134977,7/1/2025,Compliance (Annual),Cultivation Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0049139,10/16/2024,Compliance (Annual),Retail Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0049140,10/16/2024,Compliance (Annual),Retail Site,Dispensary,00000033DCCK00134006,Complete
001t000000L0T9vAAF,INSP-0045714,7/9/2024,Compliance (Annual),Cultivation Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0034415,11/6/2023,Compliance (Annual),Retail Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0034416,11/6/2023,Compliance (Annual),Retail Site,Dispensary,00000033DCCK00134006,Complete
001t000000L0T9vAAF,INSP-0029869,7/19/2023,Compliance (Annual),Cultivation Site,Establishment,00000105ESDR54985961,Complete
001t000000L0T9vAAF,INSP-0027262,5/11/2023,Modification,Cultivation Site,Establishment,00000105ESDR54985961,Complete
