Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9eAAF,INSP-0161131,10/6/2025,Complaint;Monitoring,Retail Site,Dispensary,00000034DCOD00007550,Complete
001t000000L0T9eAAF,INSP-0161130,10/6/2025,Complaint;Monitoring,Retail Site,Establishment,00000027ESMP88938972,Complete
001t000000L0T9eAAF,INSP-0133292,6/4/2025,Compliance (Annual),Retail Site,Establishment,00000027ESMP88938972,Complete
001t000000L0T9eAAF,INSP-0133293,6/4/2025,Compliance (Annual),Retail Site,Dispensary,00000034DCOD00007550,Complete
001t000000L0T9eAAF,INSP-0048628,10/8/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000034DCOD00007550,Complete
001t000000L0T9eAAF,INSP-0045057,6/14/2024,Compliance (Annual),Retail Site,Dispensary,00000034DCOD00007550,Complete
001t000000L0T9eAAF,INSP-0045056,6/14/2024,Compliance (Annual),Retail Site,Establishment,00000027ESMP88938972,Complete
001t000000L0T9eAAF,INSP-0032908,10/11/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000034DCOD00007550,Complete
001t000000L0T9eAAF,INSP-0029373,7/7/2023,Compliance (Annual),Retail Site,Establishment,00000027ESMP88938972,Complete
001t000000L0T9eAAF,INSP-0029374,7/7/2023,Compliance (Annual),Retail Site,Dispensary,00000034DCOD00007550,Complete
