Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAmAAN,INSP-0170074,3/17/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0168062,2/9/2026,Compliance (Annual),Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0168063,2/9/2026,Compliance (Annual),Retail Site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0160461,10/1/2025,Complaint,Retail Site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0160460,10/1/2025,Complaint,Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0158611,8/26/2025,Complaint,Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0158612,8/26/2025,Complaint,Retail Site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0101598,4/23/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0097213,3/17/2025,Compliance (Annual),Retail Site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0097212,3/17/2025,Compliance (Annual),Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0045728,8/20/2024,Initial Monitoring,Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0042345,6/26/2024,Compliance (Initial),Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0038974,6/3/2024,Compliance (Annual),Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0038975,6/3/2024,Compliance (Annual),Retail Site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0031006,9/5/2023,Initial Monitoring,Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0030205,8/3/2023,Compliance (Initial),Dispensary,Dispensary,00000131DCYO00924714,Complete
001t000000L0TAmAAN,INSP-0029184,7/11/2023,Complaint,Retail Site,Establishment,00000035ESBO39198288,Complete
001t000000L0TAmAAN,INSP-0028897,7/11/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000131DCYO00924714,Complete
