Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9gAAF,INSP-0162296,10/27/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0136256,7/18/2025,Initial Monitoring,Retail Site,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0136254,7/18/2025,Initial Monitoring,Retail Site,Establishment,00000077ESTT45790153,Complete
001t000000L0T9gAAF,INSP-0133560,6/6/2025,Compliance (Initial),Retail Site,Establishment,00000077ESTT45790153,Complete
001t000000L0T9gAAF,INSP-0133561,6/6/2025,Compliance (Initial),Dispensary,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0050907,12/12/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0048212,9/16/2024,Compliance (Annual),Retail Site,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0048211,9/16/2024,Compliance (Annual),Retail Site,Establishment,00000077ESTT45790153,Complete
001t000000L0T9gAAF,INSP-0035149,12/15/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000038DCAL00224416,Complete
001t000000L0T9gAAF,INSP-0033507,10/18/2023,Compliance (Annual),Retail Site,Establishment,00000077ESTT45790153,Complete
001t000000L0T9gAAF,INSP-0033508,10/18/2023,Compliance (Annual),Retail Site,Dispensary,00000038DCAL00224416,Complete
