Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9DAAV,INSP-0171355,4/2/2026,Complaint,Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0171354,4/2/2026,Complaint,Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0164026,12/1/2025,Compliance (Annual),Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0164025,12/1/2025,Compliance (Annual),Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0162031,11/18/2025,Initial Monitoring,Cultivation Off-site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0162624,11/7/2025,Modification,Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0162625,11/7/2025,Modification,Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0160038,9/25/2025,Compliance (Initial),Cultivation Off-site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0136350,7/18/2025,Modification,Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0136349,7/18/2025,Modification,Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0051486,1/27/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0051487,1/27/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0049826,11/25/2024,Initial Monitoring,Manufacture Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0048455,10/1/2024,Initial Monitoring,Cultivation Off-site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0048444,10/1/2024,Compliance (Initial),Manufacture Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0046503,8/5/2024,Compliance (Initial),Manufacture Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0045716,7/16/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0044214,5/21/2024,Complaint,Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0044215,5/21/2024,Complaint,Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0036346,2/1/2024,Compliance (Annual),Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0036347,2/1/2024,Compliance (Annual),Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0036220,1/5/2024,Change of Service,Cultivation Off-site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0035755,12/15/2023,Complaint,Retail Site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0035756,12/15/2023,Complaint,Retail Site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0035489,12/12/2023,Complaint,Cultivation Off-site,Dispensary,00000024DCTZ00479209,Complete
001t000000L0T9DAAV,INSP-0028909,9/6/2023,Compliance (Annual),Cultivation Off-site,Establishment,00000038ESPN59181329,Complete
001t000000L0T9DAAV,INSP-0026568,5/9/2023,Compliance (Annual),Cultivation Site,Establishment,00000038ESPN59181329,Complete
