Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9mAAF,INSP-0160004,9/17/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0160003,9/17/2025,Compliance (Annual),Retail Site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0160002,9/17/2025,Compliance (Annual),Retail Site,Establishment,00000124ESOS02903622,Complete
001t000000L0T9mAAF,INSP-0050298,11/13/2024,Compliance (Annual),Retail Site,Establishment,00000124ESOS02903622,Complete
001t000000L0T9mAAF,INSP-0050299,11/13/2024,Compliance (Annual),Retail Site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0044157,5/20/2024,Complaint,Retail Site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0037581,2/6/2024,Initial Monitoring,Cultivation Site,Establishment,00000124ESOS02903622,Complete
001t000000L0T9mAAF,INSP-0036843,1/17/2024,Compliance (Annual),Retail Site,Establishment,00000124ESOS02903622,Complete
001t000000L0T9mAAF,INSP-0036844,1/17/2024,Compliance (Annual),Retail Site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0036759,1/17/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000039DCVR00320237,Complete
001t000000L0T9mAAF,INSP-0035528,12/8/2023,Compliance (Initial),Cultivation Site,Establishment,00000124ESOS02903622,Complete
