Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TABAA3,INSP-0165461,1/8/2026,Compliance (Annual),Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0165460,1/8/2026,Compliance (Annual),Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0162248,10/24/2025,Complaint,Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0162247,10/24/2025,Complaint,Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0136315,8/5/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0097193,2/19/2025,Compliance (Annual),Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0097194,2/19/2025,Compliance (Annual),Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0047650,9/3/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0041604,3/13/2024,Compliance (Annual),Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0041603,3/13/2024,Compliance (Annual),Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0035912,12/22/2023,Modification,Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0035911,12/22/2023,Modification,Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0034767,11/15/2023,Complaint,Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0034765,11/15/2023,Complaint,Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0032456,9/15/2023,Complaint,Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0032075,9/7/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0026665,4/27/2023,Complaint,Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0026667,4/27/2023,Complaint,Retail Site,Dispensary,00000081DCPK00962019,Complete
001t000000L0TABAA3,INSP-0026490,4/24/2023,Compliance (Annual),Retail Site,Establishment,00000039ESEZ33667642,Complete
001t000000L0TABAA3,INSP-0026491,4/24/2023,Compliance (Annual),Retail Site,Dispensary,00000081DCPK00962019,Complete
