Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9pAAF,INSP-0165954,1/6/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0164561,12/8/2025,Compliance (Annual),Retail Site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0164559,12/8/2025,Compliance (Annual),Retail Site,Establishment,00000069ESPV40435704,Complete
001t000000L0T9pAAF,INSP-0099441,2/26/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0051998,1/27/2025,Compliance (Annual),Retail Site,Establishment,00000069ESPV40435704,Complete
001t000000L0T9pAAF,INSP-0051999,1/27/2025,Compliance (Annual),Retail Site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0043030,4/18/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0042038,3/25/2024,Compliance (Annual),Retail Site,Establishment,00000069ESPV40435704,Complete
001t000000L0T9pAAF,INSP-0042039,3/25/2024,Compliance (Annual),Retail Site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0032283,9/12/2023,Change of Service,Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0031559,8/25/2023,Modification,Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0029328,7/6/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000042DCSI00109560,Complete
001t000000L0T9pAAF,INSP-0028613,6/14/2023 - 6/15/2023,Compliance (Annual),Retail Site,Establishment,00000069ESPV40435704,Complete
001t000000L0T9pAAF,INSP-0028614,6/14/2023 - 6/15/2023,Compliance (Annual),Retail Site,Dispensary,00000042DCSI00109560,Complete
