Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9xAAF,INSP-0168017,2/9/2026,Compliance (Annual),Retail Site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0168016,2/9/2026,Compliance (Annual),Retail Site,Establishment,00000108ESND56774062,Complete
001t000000L0T9xAAF,INSP-0162373,11/13/2025,Initial Monitoring,Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0159997,9/17/2025,Change of Service,Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0160000,9/17/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0100810,3/11/2025,Compliance (Annual),Retail Site,Establishment,00000108ESND56774062,Complete
001t000000L0T9xAAF,INSP-0100811,3/11/2025,Compliance (Annual),Retail Site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0097023,2/13/2025,Complaint,Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0048627,10/4/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0039718,3/19/2024,Compliance (Annual),Retail Site,Dispensary,00000045DCYU00647140,Complete
001t000000L0T9xAAF,INSP-0039717,3/19/2024,Compliance (Annual),Retail Site,Establishment,00000108ESND56774062,Complete
001t000000L0T9xAAF,INSP-0034314,11/15/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000045DCYU00647140,Complete
