Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9yAAF,INSP-0166487,1/22/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0160041,9/17/2025,Complaint,Retail Site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0160040,9/17/2025,Complaint,Retail Site,Establishment,00000072ESRF58078256,Complete
001t000000L0T9yAAF,INSP-0135731,7/7/2025,Compliance (Annual),Retail Site,Establishment,00000072ESRF58078256,Complete
001t000000L0T9yAAF,INSP-0135732,7/7/2025,Compliance (Annual),Retail Site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0052422,2/11/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0046775,8/7/2024,Compliance (Annual),Retail Site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0046748,8/7/2024,Compliance (Annual),Retail Site,Establishment,00000072ESRF58078256,Complete
001t000000L0T9yAAF,INSP-0039409,2/21/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0030495,8/29/2023,Compliance (Annual),Retail Site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0031766,8/29/2023,Complaint,Retail Site,Dispensary,00000048DCKJ00945635,Complete
001t000000L0T9yAAF,INSP-0031765,8/29/2023,Complaint,Retail Site,Establishment,00000072ESRF58078256,Complete
001t000000L0T9yAAF,INSP-0030494,8/29/2023,Compliance (Annual),Retail Site,Establishment,00000072ESRF58078256,Complete
