Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9AAAV,INSP-0167860,2/5/2026,Monitoring,Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0167859,2/5/2026,Monitoring,Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0167665,2/3/2026,Compliance (Annual),Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0167664,2/3/2026,Compliance (Annual),Retail Site,Establishment,00000050ESTO08528992,Enforcement
001t000000L0T9AAAV,INSP-0162007,10/21/2025,Complaint,Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0162011,10/21/2025,Complaint,Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0104586,3/21/2025,Compliance (Annual),Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0104587,3/21/2025,Compliance (Annual),Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0050020,11/5/2024,Initial Monitoring,Cultivation Off-site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0050062,11/5/2024,Modification,Cultivation Off-site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0047451,8/29/2024,Compliance (Initial),Cultivation Off-site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0044461,5/29/2024,Compliance (Annual),Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0044460,5/29/2024,Compliance (Annual),Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0031339,8/21/2023,Complaint,Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0031340,8/21/2023,Complaint,Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0031234,8/17/2023,Complaint,Retail Site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0031233,8/17/2023,Complaint,Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0031002,8/14/2023,Compliance (Annual),Retail Site,Establishment,00000050ESTO08528992,Complete
001t000000L0T9AAAV,INSP-0031004,8/14/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000010DCID00070698,Complete
001t000000L0T9AAAV,INSP-0031003,8/14/2023,Compliance (Annual),Retail Site,Dispensary,00000010DCID00070698,Complete
