Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9IAAV,INSP-0170543,3/24/2026,Compliance (Annual),Retail Site,Dispensary,00000051DCYH00987523,Complete
001t000000L0T9IAAV,INSP-0170542,3/24/2026,Compliance (Annual),Retail Site,Establishment,00000103ESEK38100955,Complete
001t000000L0T9IAAV,INSP-0101599,4/29/2025,Compliance (Annual),Retail Site,Establishment,00000103ESEK38100955,Complete
001t000000L0T9IAAV,INSP-0101601,4/29/2025,Compliance (Annual),Retail Site,Dispensary,00000051DCYH00987523,Complete
001t000000L0T9IAAV,INSP-0044334,6/25/2024,Compliance (Annual),Retail Site,Dispensary,00000051DCYH00987523,Complete
001t000000L0T9IAAV,INSP-0044333,6/25/2024,Compliance (Annual),Retail Site,Establishment,00000103ESEK38100955,Complete
001t000000L0T9IAAV,INSP-0033961,10/24/2023,Initial Monitoring,Retail Site,Establishment,00000103ESEK38100955,Complete
001t000000L0T9IAAV,INSP-0033962,10/24/2023,Initial Monitoring,Retail Site,Dispensary,00000051DCYH00987523,Complete
001t000000L0T9IAAV,INSP-0030185,8/14/2023,Compliance (Initial),Dispensary,Dispensary,00000051DCYH00987523,Complete
001t000000L0T9IAAV,INSP-0030186,8/14/2023,Compliance (Initial),Retail Site,Establishment,00000103ESEK38100955,Complete
