Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TBBAA3,INSP-0162770,11/4/2025,Complaint,Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0161370,10/7/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0137185,7/28/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0137184,7/28/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0131162,5/9/2025,Complaint;Compliance (Annual),Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0049730,10/28/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0047518,8/26/2024,Initial Monitoring,Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0047240,8/19/2024,Compliance (Annual),Retail Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0047241,8/19/2024,Compliance (Annual),Retail Site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0045184,6/20/2024,Compliance (Initial),Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0044815,6/6/2024,Modification,Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0044015,5/15/2024,Modification,Retail Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0044016,5/15/2024,Modification,Retail Site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0041981,3/22/2024,Modification,Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0036386,1/4/2024,Initial Monitoring,Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0035204,11/29/2023,Initial Monitoring,Retail Site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0035202,11/29/2023,Initial Monitoring,Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0035203,11/29/2023,Initial Monitoring,Retail Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0034270,11/1/2023,Compliance (Initial),Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0032739,9/22/2023,Compliance (Initial),Dispensary,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0032737,9/22/2023,Compliance (Initial),Retail Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0032578,9/19/2023,Compliance (Initial),Cultivation Site,Establishment,00000051ESYP04501588,Complete
001t000000L0TBBAA3,INSP-0030628,8/4/2023,Modification,Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0030440,8/2/2023,Initial Monitoring,Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
001t000000L0TBBAA3,INSP-0027771,5/24/2023,Compliance (Initial),Cultivation Off-site,Dispensary,00000109DCIT00443532,Complete
