Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9JAAV,INSP-0135712,7/7/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0135174,6/30/2025,Compliance (Annual),Retail Site,Establishment,00000065ESNW69665422,Complete
001t000000L0T9JAAV,INSP-0135175,6/30/2025,Compliance (Annual),Retail Site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0046228,7/22/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0045794,7/11/2024 - 7/16/2024,Compliance (Annual),Retail Site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0045793,7/11/2024 - 7/16/2024,Compliance (Annual),Retail Site,Establishment,00000065ESNW69665422,Complete
001t000000L0T9JAAV,INSP-0031259,8/17/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0030840,8/8/2023,Compliance (Annual),Retail Site,Dispensary,00000052DCLI00194777,Complete
001t000000L0T9JAAV,INSP-0030839,8/8/2023,Compliance (Annual),Retail Site,Establishment,00000065ESNW69665422,Complete
001t000000L0T9JAAV,INSP-0028320,6/7/2023,Complaint,Retail Site,Establishment,00000065ESNW69665422,Complete
001t000000L0T9JAAV,INSP-0028321,6/7/2023,Complaint,Retail Site,Dispensary,00000052DCLI00194777,Complete
