Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAoAAN,INSP-0129901,4/30/2025,Compliance (Annual),Retail Site,Dispensary,00000135DCSM00130984,Complete
001t000000L0TAoAAN,INSP-0129900,4/30/2025,Compliance (Annual),Retail Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0043888,5/15/2024,Complaint,Cultivation Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0043401,5/1/2024,Compliance (Annual),Retail Site,Dispensary,00000135DCSM00130984,Complete
001t000000L0TAoAAN,INSP-0043399,5/1/2024,Compliance (Annual),Retail Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0041634,3/20/2024,Compliance (Annual),Cultivation Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0039872,3/12/2024,Modification,Cultivation Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0030325,8/1/2023,Initial Monitoring,Retail Site,Dispensary,00000135DCSM00130984,Complete
001t000000L0TAoAAN,INSP-0030324,8/1/2023,Initial Monitoring,Retail Site,Establishment,00000052ESLX15969554,Complete
001t000000L0TAoAAN,INSP-0027999,6/6/2023,Compliance (Initial),Dispensary,Dispensary,00000135DCSM00130984,Complete
001t000000L0TAoAAN,INSP-0028242,6/6/2023,Compliance (Initial),Retail Site,Establishment,00000052ESLX15969554,Complete
