Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA0AAN,INSP-0171025,3/30/2026,Modification,Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0171026,3/30/2026,Modification,Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0161624,10/14/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0137670,8/12/2025,Compliance (Annual),Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0137669,8/12/2025,Compliance (Annual),Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0133698,6/12/2025,Complaint,Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0133699,6/12/2025,Complaint,Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0133150,6/3/2025,Monitoring,Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0133151,6/3/2025,Monitoring,Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0102033,3/20/2025,Complaint,Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0102032,3/20/2025,Complaint,Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0049964,11/13/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0047953,9/10/2024,Compliance (Annual),Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0047954,9/10/2024,Compliance (Annual),Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0034833,1/22/2024,Compliance (Annual),Cultivation Off-site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0032819,11/1/2023,Compliance (Annual),Retail Site,Establishment,00000003ESPF54627423,Complete
001t000000L0TA0AAN,INSP-0032820,11/1/2023,Compliance (Annual),Retail Site,Dispensary,00000054DCOV00321891,Complete
001t000000L0TA0AAN,INSP-0032163,9/12/2023,Complaint,Retail Site,Dispensary,00000054DCOV00321891,Complete
