Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA1AAN,INSP-0161573,10/14/2025,Compliance (Annual),Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0161572,10/14/2025,Compliance (Annual),Retail Site,Establishment,00000104ESDH57805022,Complete
001t000000L0TA1AAN,INSP-0050266,11/12/2024,Monitoring,Retail Site,Establishment,00000104ESDH57805022,Complete
001t000000L0TA1AAN,INSP-0050267,11/12/2024,Monitoring,Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0049878,10/30/2024,Compliance (Annual),Retail Site,Establishment,00000104ESDH57805022,Complete
001t000000L0TA1AAN,INSP-0049879,10/30/2024,Compliance (Annual),Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0046757,8/9/2024,Complaint,Retail Site,Establishment,00000104ESDH57805022,Complete
001t000000L0TA1AAN,INSP-0046758,8/9/2024,Complaint,Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0034442,11/6/2023,Compliance (Annual),Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0034441,11/6/2023,Compliance (Annual),Retail Site,Establishment,00000104ESDH57805022,Complete
001t000000L0TA1AAN,INSP-0031295,8/18/2023,Complaint,Retail Site,Dispensary,00000055DCDA00381095,Complete
001t000000L0TA1AAN,INSP-0028915,6/22/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000055DCDA00381095,Complete
