Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA2AAN,INSP-0166874,1/21/2026,Compliance (Annual),Retail Site,Dispensary,00000056DCLD00291476,Complete
001t000000L0TA2AAN,INSP-0166873,1/21/2026,Compliance (Annual),Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0052471,1/28/2025,Compliance (Annual),Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0052472,1/28/2025,Compliance (Annual),Retail Site,Dispensary,00000056DCLD00291476,Complete
001t000000L0TA2AAN,INSP-0047594,8/29/2024,Modification,Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0047595,8/29/2024,Modification,Retail Site,Dispensary,00000056DCLD00291476,Complete
001t000000L0TA2AAN,INSP-0044506,5/29/2024,Complaint,Retail Site,Dispensary,00000056DCLD00291476,Complete
001t000000L0TA2AAN,INSP-0044505,5/29/2024,Complaint,Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0041602,3/13/2024,Compliance (Annual),Retail Site,Dispensary,00000056DCLD00291476,Complete
001t000000L0TA2AAN,INSP-0041601,3/13/2024,Compliance (Annual),Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0026359,4/19/2023,Complaint,Retail Site,Establishment,00000130ESFL12611544,Complete
001t000000L0TA2AAN,INSP-0026360,4/19/2023,Complaint,Retail Site,Dispensary,00000056DCLD00291476,Complete
