Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9jAAF,INSP-0166867,2/24/2026,Compliance (Annual),Retail Site,Dispensary,00000018DCST00941489,Complete
001t000000L0T9jAAF,INSP-0166866,2/24/2026,Compliance (Annual),Retail Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0129844,6/18/2025,Compliance (Annual),Cultivation Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0124481,4/11/2025,Compliance (Annual),Retail Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0124482,4/11/2025,Compliance (Annual),Retail Site,Dispensary,00000018DCST00941489,Complete
001t000000L0T9jAAF,INSP-0045334,6/24/2024,Compliance (Annual),Cultivation Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0043488,5/28/2024,Compliance (Annual),Retail Site,Dispensary,00000018DCST00941489,Complete
001t000000L0T9jAAF,INSP-0043487,5/28/2024,Compliance (Annual),Retail Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0033720,10/17/2023,Initial Monitoring,Cultivation Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0031208,8/18/2023,Compliance (Initial),Cultivation Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0028731,6/19/2023,Compliance (Annual),Retail Site,Establishment,00000056ESPE92908314,Complete
001t000000L0T9jAAF,INSP-0028732,6/19/2023,Compliance (Annual),Retail Site,Dispensary,00000018DCST00941489,Complete
