Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA3AAN,INSP-0164581,12/11/2025,Compliance (Annual),Cultivation Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0164579,12/11/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0164578,12/10/2025,Compliance (Annual),Retail Site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0164576,12/10/2025,Compliance (Annual),Retail Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0134936,6/26/2025,Complaint,Cultivation Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0051884,1/15/2025,Compliance (Annual),Retail Site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0051882,1/15/2025,Compliance (Annual),Retail Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0052011,1/13/2025,Compliance (Annual),Cultivation Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0052010,1/13/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0044163,5/20/2024,Complaint,Retail Site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0042862,4/15/2024,Modification,Retail Site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0042861,4/15/2024,Modification,Retail Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0036740,1/16/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0036742,1/16/2024,Compliance (Annual),Cultivation Site,Establishment,00000126ESDQ50929013,Complete
001t000000L0TA3AAN,INSP-0036739,1/16/2024,Compliance (Annual),Retail Site,Dispensary,00000057DCHF00477864,Complete
001t000000L0TA3AAN,INSP-0036738,1/16/2024,Compliance (Annual),Retail Site,Establishment,00000126ESDQ50929013,Complete
