Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA6AAN,INSP-0169273,3/4/2026,Compliance (Annual),Retail Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0169274,3/4/2026,Compliance (Annual),Retail Site,Dispensary,00000060DCIS00424661,Complete
001t000000L0TA6AAN,INSP-0163785,11/21/2025,Complaint,Manufacture Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0163218,11/12/2025,Monitoring,Retail Site,Dispensary,00000046DCYJ00671222,Complete
001t000000L0TA6AAN,INSP-0163217,11/12/2025,Monitoring,Retail Site,Establishment,00000031ESCS44452076,Complete
001t000000L0TA6AAN,INSP-0131623,5/19/2025,Compliance (Annual),Manufacture Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0115464,4/1/2025,Compliance (Annual),Retail Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0115465,4/1/2025,Compliance (Annual),Retail Site,Dispensary,00000060DCIS00424661,Complete
001t000000L0TA6AAN,INSP-0044216,5/21/2024,Compliance (Annual),Manufacture Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0042566,4/8/2024,Compliance (Annual),Retail Site,Dispensary,00000060DCIS00424661,Complete
001t000000L0TA6AAN,INSP-0042565,4/8/2024,Compliance (Annual),Retail Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0029962,7/21/2023,Complaint,Manufacture Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0028145,6/5/2023,Compliance (Annual),Manufacture Site,Establishment,00000089ESLW87335751,Complete
001t000000L0TA6AAN,INSP-0026238,4/19/2023,Compliance (Annual),Retail Site,Dispensary,00000060DCIS00424661,Complete
001t000000L0TA6AAN,INSP-0026237,4/19/2023,Compliance (Annual),Retail Site,Establishment,00000089ESLW87335751,Complete
