Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9HAAV,INSP-0168076,2/10/2026,Compliance (Annual),Retail Site,Establishment,00000060ESTV86857950,Enforcement
001t000000L0T9HAAV,INSP-0168077,2/10/2026,Compliance (Annual),Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0132123,5/22/2025,Compliance (Annual),Cultivation Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0130314,4/29/2025,Initial Monitoring,Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0130313,4/29/2025,Initial Monitoring,Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0099495,2/27/2025,Compliance (Initial),Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0099496,2/27/2025,Compliance (Initial),Dispensary,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0051515,12/20/2024,Complaint,Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0051514,12/20/2024,Complaint,Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0047444,8/23/2024,Compliance (Annual),Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0047492,8/23/2024,Compliance (Annual),Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0046765,8/8/2024,Initial Monitoring,Cultivation Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0045576,7/3/2024,Compliance (Initial),Cultivation Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0043598,5/3/2024,Complaint,Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0043597,5/3/2024,Complaint,Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0037203,1/29/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0034778,11/16/2023,Initial Monitoring,Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0034777,11/16/2023,Initial Monitoring,Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0032892,9/26/2023,Compliance (Initial),Dispensary,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0032891,9/26/2023,Compliance (Initial),Retail Site,Establishment,00000060ESTV86857950,Complete
001t000000L0T9HAAV,INSP-0027150,5/9/2023,Compliance (Annual),Retail Site,Dispensary,00000036DCOP00819772,Complete
001t000000L0T9HAAV,INSP-0027149,5/9/2023,Compliance (Annual),Retail Site,Establishment,00000060ESTV86857950,Complete
