Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TA7AAN,INSP-0163568,11/20/2025,Compliance (Annual),Manufacture Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0160665,10/23/2025,Compliance (Annual),Retail Site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0160664,10/23/2025,Compliance (Annual),Retail Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0124142,4/7/2025,Initial Monitoring,Cultivation Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0097856,2/24/2025,Compliance (Initial),Cultivation Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0052572,1/30/2025,Initial Monitoring,Manufacture Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0051587,1/17/2025,Initial Monitoring,Retail Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0051588,1/17/2025,Initial Monitoring,Retail Site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0051643,1/2/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0051004,12/5/2024,Compliance (Initial),Manufacture Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0050840,11/29/2024,Compliance (Initial),Dispensary,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0050839,11/29/2024,Compliance (Initial),Retail Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0042341,4/3/2024,Complaint;Monitoring,Cultivation Off-site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0036601,1/10/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0036508,1/8/2024,Compliance (Annual),Retail Site,Dispensary,00000061DCMK00381513,Complete
001t000000L0TA7AAN,INSP-0036507,1/8/2024,Compliance (Annual),Retail Site,Establishment,00000097ESKC38985532,Complete
001t000000L0TA7AAN,INSP-0027817,5/24/2023,Monitoring,Cultivation Off-site,Dispensary,00000061DCMK00381513,Complete
