Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB5AAN,INSP-0165873,1/12/2026,Compliance (Annual),Retail Site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0165871,1/12/2026,Compliance (Annual),Retail Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0158808,9/2/2025,Initial Monitoring,Cultivation Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0132076,5/20/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0130145,4/29/2025,Compliance (Initial),Cultivation Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0052872,2/12/2025,Compliance (Annual),Retail Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0052873,2/12/2025,Compliance (Annual),Retail Site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0049099,10/15/2024,Complaint,Cultivation Off-site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0044782,6/5/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0041907,3/22/2024,Compliance (Annual),Retail Site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0041906,3/22/2024,Compliance (Annual),Retail Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0028733,6/23/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000106DCQV00747138,Complete
001t000000L0TB5AAN,INSP-0027025,5/5/2023,Compliance (Annual),Retail Site,Establishment,00000061ESIG65334270,Complete
001t000000L0TB5AAN,INSP-0027026,5/5/2023,Compliance (Annual),Retail Site,Dispensary,00000106DCQV00747138,Complete
