Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9qAAF,INSP-0159575,9/10/2025,Compliance (Annual),Retail Site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0159574,9/10/2025,Compliance (Annual),Retail Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0136022,7/15/2025,Modification,Retail Site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0136021,7/15/2025,Modification,Retail Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0049127,10/10/2024,Compliance (Annual),Retail Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0049128,10/10/2024,Compliance (Annual),Retail Site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0043896,5/13/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0034862,11/17/2023,Compliance (Annual),Manufacture Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0033696,10/17/2023,Compliance (Annual),Retail Site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0033695,10/17/2023,Compliance (Annual),Retail Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0029427,8/24/2023,Complaint,Retail Site,Dispensary,00000043DCBC00869823,Complete
001t000000L0T9qAAF,INSP-0029426,8/24/2023,Complaint,Retail Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0028854,6/27/2023,Modification,Manufacture Site,Establishment,00000062ESGQ60020478,Complete
001t000000L0T9qAAF,INSP-0027492,5/16/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000043DCBC00869823,Complete
