Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAKAA3,INSP-0170219,3/16/2026,Complaint,Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0170221,3/16/2026,Complaint,Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0158124,8/19/2025,Compliance (Annual),Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0158125,8/19/2025,Compliance (Annual),Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0129697,4/21/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0048541,9/24/2024,Compliance (Annual),Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0048540,9/24/2024,Compliance (Annual),Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0045281,6/20/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0044247,5/22/2024,Complaint,Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0044248,5/22/2024,Complaint,Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0042621,4/8/2024,Complaint,Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0042622,4/8/2024,Complaint,Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0035485,12/6/2023,Compliance (Annual),Retail Site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0035484,12/6/2023,Compliance (Annual),Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0032458,9/18/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0032531,9/18/2023,Modification,Cultivation Off-site,Dispensary,00000064DCTS00268592,Complete
001t000000L0TAKAA3,INSP-0027804,5/23/2023,Complaint,Retail Site,Establishment,00000125ESMC92036121,Complete
001t000000L0TAKAA3,INSP-0027805,5/23/2023,Complaint,Retail Site,Dispensary,00000064DCTS00268592,Complete
