Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TALAA3,INSP-0168749,2/23/2026,Compliance (Annual),Retail Site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0168747,2/23/2026,Compliance (Annual),Retail Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0158479,8/26/2025,Compliance (Annual),Manufacture Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0133167,6/6/2025,Modification,Manufacture Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0101592,3/17/2025,Compliance (Annual),Retail Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0101595,3/17/2025,Compliance (Annual),Retail Site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0048638,10/8/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0048484,9/24/2024,Compliance (Annual),Manufacture Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0043340,4/29/2024,Compliance (Annual),Retail Site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0043339,4/29/2024,Compliance (Annual),Retail Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0034449,11/7/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0031091,10/11/2023,Compliance (Annual),Manufacture Site,Establishment,00000080ESNP00364439,Complete
001t000000L0TALAA3,INSP-0028042,6/1/2023,Compliance (Annual),Retail Site,Dispensary,00000069DCFG00710475,Complete
001t000000L0TALAA3,INSP-0028041,6/1/2023,Compliance (Annual),Retail Site,Establishment,00000080ESNP00364439,Complete
