Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAPAA3,INSP-0162375,11/20/2025,Compliance (Annual),Retail Site,Dispensary,00000073DCSV00210732,Complete
001t000000L0TAPAA3,INSP-0162374,11/20/2025,Compliance (Annual),Retail Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0159059,9/4/2025,Compliance (Annual),Manufacture Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0132242,5/22/2025,Modification,Manufacture Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0052264,1/27/2025,Complaint;Initial Monitoring,Retail Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0052265,1/27/2025,Complaint;Initial Monitoring,Retail Site,Dispensary,00000073DCSV00210732,Complete
001t000000L0TAPAA3,INSP-0050820,11/27/2024,Compliance (Initial),Retail Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0050819,11/27/2024,Compliance (Initial),Dispensary,Dispensary,00000073DCSV00210732,Complete
001t000000L0TAPAA3,INSP-0049138,10/10/2024,Compliance (Annual),Manufacture Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0042194,4/3/2024,Compliance (Annual),Retail Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0042195,4/3/2024,Compliance (Annual),Retail Site,Dispensary,00000073DCSV00210732,Complete
001t000000L0TAPAA3,INSP-0033972,11/2/2023,Compliance (Annual),Manufacture Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0025572,4/14/2023,Compliance (Annual),Retail Site,Establishment,00000078ESQG10647381,Complete
001t000000L0TAPAA3,INSP-0025573,4/14/2023,Compliance (Annual),Retail Site,Dispensary,00000073DCSV00210732,Complete
