Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAUAA3,INSP-0163050,11/10/2025,Compliance (Annual),Cultivation Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0136114,7/15/2025,Compliance (Annual),Retail Site,Dispensary,00000067DCGT00463260,Complete
001t000000L0TAUAA3,INSP-0136113,7/15/2025,Compliance (Annual),Retail Site,Establishment,00000073ESED95493026,Enforcement
001t000000L0TAUAA3,INSP-0133171,6/5/2025,Initial Monitoring,Cultivation Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0132552,5/28/2025,Initial Monitoring,Cultivation Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0124274,4/8/2025,Compliance (Initial),Cultivation Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0052201,1/17/2025,Compliance (Initial),Cultivation Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0046914,8/12/2024,Compliance (Annual),Retail Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0046915,8/12/2024,Compliance (Annual),Retail Site,Dispensary,00000067DCGT00463260,Complete
001t000000L0TAUAA3,INSP-0031455,8/22/2023,Compliance (Annual),Retail Site,Establishment,00000073ESED95493026,Complete
001t000000L0TAUAA3,INSP-0031456,8/22/2023,Compliance (Annual),Retail Site,Dispensary,00000067DCGT00463260,Complete
