Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9XAAV,INSP-0160037,9/17/2025,Complaint,Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0160036,9/17/2025,Complaint,Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0135103,7/24/2025,Compliance (Annual),Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0135102,7/24/2025,Compliance (Annual),Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0048313,9/17/2024,Modification,Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0048314,9/17/2024,Modification,Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0047956,9/12/2024,Compliance (Annual),Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0047955,9/12/2024,Compliance (Annual),Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0046481,8/2/2024,Modification,Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0046482,8/2/2024,Modification,Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0032804,10/4/2023,Compliance (Annual),Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0032803,10/4/2023,Compliance (Annual),Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0032694,9/22/2023,Complaint,Retail Site,Dispensary,00000004DCKF00438872,Complete
001t000000L0T9XAAV,INSP-0032693,9/22/2023,Complaint,Retail Site,Establishment,00000074ESMJ87013698,Complete
001t000000L0T9XAAV,INSP-0031957,9/12/2023,Complaint,Retail Site,Dispensary,00000004DCKF00438872,Complete
