Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TARAA3,INSP-0167476,3/12/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0167472,2/4/2026,Compliance (Annual),Retail Site,Establishment,00000076ESON21559195,Complete
001t000000L0TARAA3,INSP-0167473,2/4/2026,Compliance (Annual),Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0163595,11/18/2025,Monitoring,Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0160032,9/17/2025,Complaint,Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0160031,9/17/2025,Complaint,Retail Site,Establishment,00000076ESON21559195,Complete
001t000000L0TARAA3,INSP-0107966,3/26/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0101428,3/13/2025,Compliance (Annual),Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0101427,3/13/2025,Compliance (Annual),Retail Site,Establishment,00000076ESON21559195,Complete
001t000000L0TARAA3,INSP-0049640,10/24/2024,Complaint,Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0046900,8/9/2024,Modification,Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0044401,5/24/2024,Complaint,Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0042968,4/16/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0042692,4/10/2024,Compliance (Annual),Retail Site,Establishment,00000076ESON21559195,Complete
001t000000L0TARAA3,INSP-0042693,4/10/2024,Compliance (Annual),Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0042130,3/27/2024,Complaint,Retail Site,Establishment,00000076ESON21559195,Complete
001t000000L0TARAA3,INSP-0042131,3/27/2024,Complaint,Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0027024,5/5/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0025869,4/17/2023,Compliance (Annual),Retail Site,Dispensary,00000079DCUU00478781,Complete
001t000000L0TARAA3,INSP-0025868,4/17/2023,Compliance (Annual),Retail Site,Establishment,00000076ESON21559195,Complete
