Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAQAA3,INSP-0170004,3/12/2026,Complaint,Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0170003,3/12/2026,Complaint,Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0162895,11/5/2025,Compliance (Annual),Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0162894,11/5/2025,Compliance (Annual),Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0158249,8/21/2025,Monitoring,Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0158250,8/21/2025,Monitoring,Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0158140,8/19/2025,Initial Monitoring,Cultivation Off-site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0135656,7/3/2025,Compliance (Initial),Cultivation Off-site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0099870,3/3/2025,Monitoring,Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0099869,3/3/2025,Monitoring,Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0051197,12/16/2024,Compliance (Annual),Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0051196,12/16/2024,Compliance (Annual),Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0045768,7/9/2024,Monitoring,Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0045767,7/9/2024,Monitoring,Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0036065,12/27/2023,Compliance (Annual),Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0036066,12/27/2023,Compliance (Annual),Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0031763,8/29/2023,Complaint,Retail Site,Dispensary,00000078DCBK00628996,Complete
001t000000L0TAQAA3,INSP-0031762,8/29/2023,Complaint,Retail Site,Establishment,00000088ESUZ76069650,Complete
001t000000L0TAQAA3,INSP-0026149,4/14/2023,Complaint,Retail Site,Dispensary,00000078DCBK00628996,Complete
