Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TADAA3,INSP-0167406,1/29/2026,Compliance (Annual),Retail Site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0167405,1/29/2026,Compliance (Annual),Retail Site,Establishment,00000085ESVF25061802,SOD
001t000000L0TADAA3,INSP-0160142,9/18/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0100963,3/12/2025,Compliance (Annual),Retail Site,Establishment,00000085ESVF25061802,Complete
001t000000L0TADAA3,INSP-0100964,3/12/2025,Compliance (Annual),Retail Site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0049518,10/22/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0044201,5/21/2024,Compliance (Annual),Retail Site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0044200,5/21/2024,Compliance (Annual),Retail Site,Establishment,00000085ESVF25061802,Complete
001t000000L0TADAA3,INSP-0036509,1/8/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000083DCYO00463840,Complete
001t000000L0TADAA3,INSP-0031151,8/16/2023,Compliance (Annual),Retail Site,Establishment,00000085ESVF25061802,Complete
001t000000L0TADAA3,INSP-0031153,8/16/2023,Compliance (Annual),Retail Site,Dispensary,00000083DCYO00463840,Complete
