Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9fAAF,INSP-0163228,11/20/2025,Monitoring,Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0160277,9/23/2025,Monitoring,Cultivation Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0159858,9/15/2025,Complaint;Monitoring,Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0159244,9/5/2025,Complaint,Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0159245,9/5/2025,Complaint,Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0158427,8/22/2025,Complaint,Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0136318,8/11/2025,Compliance (Annual),Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0136317,8/11/2025,Compliance (Annual),Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0135659,7/3/2025,Complaint,Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0135664,7/3/2025,Complaint,Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0101596,6/2/2025,Compliance (Annual),Cultivation Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0108117,3/28/2025,Complaint,Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0052807,2/11/2025,Monitoring,Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0052806,2/11/2025,Monitoring,Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0049534,10/28/2024,Compliance (Annual),Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0049535,10/28/2024,Compliance (Annual),Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0048482,9/24/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0045212,6/19/2024,Compliance (Annual),Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0043411,4/30/2024,Complaint,Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0034636,11/14/2023,Compliance (Annual),Retail Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0034637,11/14/2023,Compliance (Annual),Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0033960,10/24/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0031654,10/2/2023,Complaint,Cultivation Site,Establishment,00000084ESFH12297246,Complete
001t000000L0T9fAAF,INSP-0033035,9/29/2023,Complaint,Retail Site,Dispensary,00000037DCDM00904008,Complete
001t000000L0T9fAAF,INSP-0029285,7/5/2023,Compliance (Annual),Cultivation Site,Establishment,00000084ESFH12297246,Complete
