Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAdAAN,INSP-0168530,2/18/2026,Complaint,Cultivation Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0158487,9/9/2025,Compliance (Annual),Retail Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0158484,9/9/2025,Compliance (Annual),Retail Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0132116,6/25/2025,Compliance (Annual),Cultivation Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0051479,1/6/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0050906,12/3/2024,Modification,Cultivation Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0050810,11/27/2024,Complaint,Retail Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0050809,11/27/2024,Complaint,Retail Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0048607,10/7/2024,Compliance (Annual),Retail Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0048608,10/7/2024,Compliance (Annual),Retail Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0047730,8/30/2024,Complaint,Cultivation Off-site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0045717,8/7/2024,Complaint;Compliance (Annual),Cultivation Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0045243,6/19/2024,Complaint,Cultivation Off-site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0036348,2/5/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0033913,11/7/2023,Compliance (Annual),Retail Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0033914,11/7/2023,Compliance (Annual),Retail Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0032619,10/10/2023,Compliance (Annual),Cultivation Site,Establishment,00000041ESLU31226658,Complete
001t000000L0TAdAAN,INSP-0029275,7/6/2023,Initial Monitoring,Cultivation Off-site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0028404,6/9/2023,Modification,Retail Site,Dispensary,00000085DCSC00371416,Complete
001t000000L0TAdAAN,INSP-0028403,6/9/2023,Modification,Retail Site,Establishment,00000041ESLU31226658,Complete
