Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAEAA3,INSP-0170595,3/31/2026,Compliance (Initial),Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0163725,11/20/2025,Initial Monitoring,Retail Site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0163723,11/20/2025,Initial Monitoring,Retail Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0160397,9/23/2025,Compliance (Initial),Retail Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0160396,9/23/2025,Compliance (Initial),Dispensary,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0157068,8/6/2025,Compliance (Annual),Retail Site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0157069,8/6/2025,Compliance (Annual),Cultivation Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0157067,8/6/2025,Compliance (Annual),Retail Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0048345,9/18/2024,Compliance (Annual),Retail Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0048347,9/18/2024,Compliance (Annual),Cultivation Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0048346,9/18/2024,Compliance (Annual),Retail Site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0035150,11/28/2023,Compliance (Annual),Retail Site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0035147,11/28/2023,Compliance (Annual),Retail Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0034387,11/3/2023,Modification,Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0032794,9/27/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0032793,9/25/2023,Compliance (Annual),Cultivation Site,Establishment,00000063ESQI60809124,Complete
001t000000L0TAEAA3,INSP-0028004,5/30/2023 - 5/31/2023,Complaint,Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0027358,5/12/2023,Modification,Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
001t000000L0TAEAA3,INSP-0026685,4/28/2023,Modification,Cultivation Off-site,Dispensary,00000089DCQY00546716,Complete
