Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAFAA3,INSP-0171428,4/3/2026,Compliance (Annual),Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0171429,4/3/2026,Compliance (Annual),Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0162509,10/29/2025,Monitoring,Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0162508,10/29/2025,Monitoring,Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0134355,6/19/2025,Compliance (Annual),Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0134356,6/19/2025,Compliance (Annual),Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0130702,5/5/2025,Compliance (Annual),Manufacture Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0046235,7/23/2024,Monitoring,Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0046236,7/23/2024,Monitoring,Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0045477,7/3/2024,Compliance (Annual),Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0045476,7/3/2024,Compliance (Annual),Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0044689,6/4/2024,Compliance (Annual),Manufacture Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0030555,8/3/2023,Initial Monitoring,Manufacture Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0030026,7/21/2023,Compliance (Annual),Retail Site,Dispensary,00000090DCYT00194857,Complete
001t000000L0TAFAA3,INSP-0030025,7/21/2023,Compliance (Annual),Retail Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0029212,7/5/2023,Change of Service,Manufacture Site,Establishment,00000042ESJB38310180,Complete
001t000000L0TAFAA3,INSP-0028338,6/9/2023,Compliance (Initial),Manufacture Site,Establishment,00000042ESJB38310180,Complete
