Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAGAA3,INSP-0136310,8/19/2025,Compliance (Annual),Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0136312,8/19/2025,Compliance (Annual),Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0134494,7/14/2025,Modification,Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0134495,7/14/2025,Modification,Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0049970,11/20/2024,Initial Monitoring,Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0049969,11/20/2024,Initial Monitoring,Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0048487,9/24/2024,Compliance (Initial),Dispensary,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0048488,9/24/2024,Compliance (Initial),Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0044916,6/19/2024,Complaint,Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0044914,6/19/2024,Compliance (Annual),Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0044913,6/19/2024,Compliance (Annual),Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0044915,6/19/2024,Complaint,Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0034272,11/1/2023,Complaint,Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0034271,11/1/2023,Complaint,Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0028905,7/26/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0028903,7/19/2023,Compliance (Annual),Retail Site,Establishment,00000086ESQZ01367420,Complete
001t000000L0TAGAA3,INSP-0028904,7/19/2023,Compliance (Annual),Retail Site,Dispensary,00000091DCWY00555666,Complete
001t000000L0TAGAA3,INSP-0027698,5/19/2023,Modification,Cultivation Off-site,Dispensary,00000091DCWY00555666,Complete
