Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TANAA3,INSP-0166846,1/21/2026,Compliance (Annual),Retail Site,Dispensary,00000071DCCX00288765,Complete
001t000000L0TANAA3,INSP-0166845,1/21/2026,Compliance (Annual),Retail Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0166023,1/12/2026,Compliance (Annual),Cultivation Off-site,Dispensary,00000071DCCX00288765,Complete
001t000000L0TANAA3,INSP-0134718,6/24/2025,Compliance (Annual),Cultivation Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0052267,2/7/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0052268,2/7/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000071DCCX00288765,Complete
001t000000L0TANAA3,INSP-0052026,1/15/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000071DCCX00288765,Complete
001t000000L0TANAA3,INSP-0048137,9/19/2024,Initial Monitoring,Cultivation Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0042196,4/1/2024,Compliance (Initial),Cultivation Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0037198,2/13/2024,Compliance (Annual),Retail Site,Dispensary,00000071DCCX00288765,Complete
001t000000L0TANAA3,INSP-0037197,2/13/2024,Compliance (Annual),Retail Site,Establishment,00000094ESMX02282810,Complete
001t000000L0TANAA3,INSP-0037196,2/2/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000071DCCX00288765,Complete
