Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAjAAN,INSP-0168567,2/23/2026,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0168566,2/23/2026,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0168563,2/23/2026,Compliance (Annual),Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0168564,2/23/2026,Compliance (Annual),Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0163698,11/19/2025,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0163699,11/19/2025,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0161081,10/2/2025,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0161080,10/2/2025,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0159420,9/8/2025,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0159419,9/8/2025,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0157900,8/14/2025,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0157899,8/14/2025,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0129604,4/17/2025,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0129605,4/17/2025,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0052441,3/5/2025 - 3/19/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0052440,3/5/2025 - 3/19/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0048024,9/13/2024,Complaint,Retail Site,Establishment,,Complete
001t000000L0TAjAAN,INSP-0045720,8/15/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0044255,6/14/2024,Modification,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0038973,4/24/2024,Compliance (Annual),Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0038972,4/24/2024,Compliance (Annual),Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0032621,10/18/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0031155,8/16/2023,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0031154,8/16/2023,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0031156,8/16/2023,Complaint,Retail Site,Dispensary,00000099DCPL00826691,Complete
001t000000L0TAjAAN,INSP-0031152,8/16/2023,Complaint,Retail Site,Establishment,00000095ESIP13817359,Complete
001t000000L0TAjAAN,INSP-0028901,7/24/2023,Compliance (Annual),Retail Site,Establishment,00000095ESIP13817359,Complete
