Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAMAA3,INSP-0170158,3/17/2026,Compliance (Annual),Cultivation Site,Establishment,00000099ESVM28064808,Enforcement
001t000000L0TAMAA3,INSP-0161966,10/22/2025,Compliance (Annual),Retail Site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0161965,10/22/2025,Compliance (Annual),Retail Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0129839,4/23/2025,Compliance (Annual),Cultivation Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0124147,4/7/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0051468,12/30/2024,Compliance (Annual),Retail Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0051494,12/30/2024,Compliance (Annual),Retail Site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0049639,10/24/2024,Complaint,Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0044113,5/17/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0043818,5/9/2024,Compliance (Annual),Cultivation Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0041956,3/21/2024,Complaint,Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0039556,2/27/2024,Complaint,Manufacture Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0034830,1/4/2024,Compliance (Annual),Retail Site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0034829,1/4/2024,Compliance (Annual),Retail Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0032817,10/12/2023,Initial Monitoring,Manufacture Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0031540,8/25/2023,Compliance (Initial),Manufacture Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0029699,7/14/2023,Initial Monitoring,Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0029276,7/5/2023,Initial Monitoring,Cultivation Site,Establishment,00000099ESVM28064808,Complete
001t000000L0TAMAA3,INSP-0027553,5/19/2023,Compliance (Initial),Cultivation Off-site,Dispensary,00000070DCBD00783295,Complete
001t000000L0TAMAA3,INSP-0027148,5/11/2023,Compliance (Initial),Cultivation Site,Establishment,00000099ESVM28064808,Complete
