Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TAhAAN,INSP-0169863,3/11/2026,Compliance (Annual),Retail Site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0101614,3/25/2025,Compliance (Annual),Retail Site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0101613,3/25/2025,Compliance (Annual),Retail Site,Establishment,00000102ESWC76772229,Complete
001t000000L0TAhAAN,INSP-0050884,12/12/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0048424,9/20/2024,Complaint,Retail Site,Establishment,00000102ESWC76772229,Complete
001t000000L0TAhAAN,INSP-0048425,9/20/2024,Complaint,Retail Site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0039722,4/15/2024,Compliance (Annual),Retail Site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0039721,4/15/2024,Compliance (Annual),Retail Site,Establishment,00000102ESWC76772229,Complete
001t000000L0TAhAAN,INSP-0036435,1/11/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000096DCXQ00231932,Complete
001t000000L0TAhAAN,INSP-0025585,4/28/2023,Compliance (Annual),Retail Site,Establishment,00000102ESWC76772229,Complete
001t000000L0TAhAAN,INSP-0025598,4/28/2023,Compliance (Annual),Retail Site,Dispensary,00000096DCXQ00231932,Complete
