Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0TB3AAN,INSP-0162885,11/5/2025,Complaint;Compliance (Annual),Retail Site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0162884,11/5/2025,Complaint;Compliance (Annual),Retail Site,Establishment,00000026ESRZ88769978,Complete
001t000000L0TB3AAN,INSP-0051164,12/10/2024,Compliance (Annual),Retail Site,Establishment,00000026ESRZ88769978,Complete
001t000000L0TB3AAN,INSP-0051165,12/10/2024,Compliance (Annual),Retail Site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0041325,3/6/2024,Compliance (Annual),Retail Site,Establishment,00000026ESRZ88769978,Complete
001t000000L0TB3AAN,INSP-0041326,3/6/2024,Compliance (Annual),Retail Site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0032966,9/27/2023,Complaint,Retail Site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0027526,5/17/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0027418,5/15/2023,Compliance (Annual),Retail Site,Dispensary,00000107DCFT00824215,Complete
001t000000L0TB3AAN,INSP-0027417,5/15/2023,Compliance (Annual),Retail Site,Establishment,00000026ESRZ88769978,Complete
